num_keys, runtime(s),avg_cpu_usage(%)
500, 2.140226, 3.001678
1000, 4.265177, 3.166087
1500, 6.348410, 3.277044
2000, 8.456056, 3.210240
2500, 10.553332, 2.870666
3000, 12.653660, 2.814643
3500, 14.729752, 2.508235
4000, 16.850369, 2.440224
4500, 19.011272, 2.328659
5000, 21.207239, 2.230385
5500, 23.168337, 2.033675
6000, 25.364168, 1.999174
6500, 27.363963, 1.910419
7000, 29.498632, 1.880394
7500, 31.625197, 1.862467
8000, 33.702081, 1.811572
8500, 36.129892, 1.801175
9000, 37.968965, 1.771587
9500, 40.111026, 1.738367
10000, 42.108827, 1.689349
