elapsed_time(s), tput(ops/s), num_active_workers
17.018733, 18699.697813, 0
17.114209, 10489.611314, 1
17.184753, 14206.435677, 2
17.291255, 9398.683861, 0
17.358990, 14786.711082, 2
17.426905, 14749.660430, 0
17.540714, 8797.304724, 1
17.616031, 13290.630361, 2
17.673310, 17482.669692, 0
17.764699, 10954.514621, 2
17.829474, 15475.824418, 2
17.890023, 16551.385166, 0
17.979924, 11135.750196, 0
18.069764, 11141.628651, 1
18.130243, 16557.634917, 0
18.216590, 11591.350015, 0
18.292396, 13204.706289, 2
18.367501, 13337.395015, 2
18.469390, 11084.699106, 0
18.540967, 14332.294037, 2
18.607128, 15141.236317, 0
18.666823, 16781.414624, 0
18.744013, 12970.795450, 2
18.823466, 12600.853927, 1
18.882868, 16888.023336, 0
18.960456, 12905.762330, 1
19.034767, 13476.821229, 1
19.098387, 15757.016221, 2
19.159815, 16318.376752, 1
19.259354, 10849.276834, 2
19.332670, 13655.232312, 1
19.407782, 13339.815238, 2
19.468444, 16516.831477, 0
19.546792, 12778.767699, 0
19.628367, 12272.366170, 1
19.706415, 12838.207491, 2
19.762142, 17989.392195, 2
19.809239, 21354.055537, 2
19.924353, 8695.556598, 1
20.035304, 9021.372027, 1
20.111521, 13147.540184, 2
20.260620, 6711.651376, 1
20.349617, 11252.920541, 2
20.443936, 10613.424409, 1
20.540277, 10388.681614, 2
20.617873, 12900.650004, 2
20.677162, 16896.969831, 2
20.777949, 9930.134552, 0
20.861567, 11970.026766, 0
20.940604, 13619.465965, 1
21.000308, 16771.514629, 2
21.097690, 10284.299378, 2
21.175417, 12892.767859, 2
21.267276, 10895.051585, 2
21.326110, 17019.150578, 1
21.396426, 14244.966762, 0
21.478518, 12201.827599, 2
21.598458, 8677.288541, 2
21.705815, 9321.326433, 0
21.809393, 9664.164953, 2
21.872191, 15952.798095, 2
21.969729, 10263.682207, 1
22.030578, 16454.566482, 1
22.140982, 9108.046958, 1
22.203932, 15907.867486, 2
22.282734, 12702.181900, 0
22.388456, 9465.719037, 1
22.503456, 8989.065674, 0
22.588928, 11713.874832, 2
22.685587, 10358.918502, 1
22.779467, 10665.402973, 0
22.868751, 11209.417579, 1
22.946912, 12808.735681, 2
23.034730, 11404.351193, 2
23.090082, 18113.150897, 2
23.229008, 7201.912672, 2
23.282016, 18892.466555, 0
23.356546, 13440.760674, 2
23.434202, 12897.720061, 2
23.496298, 16125.223584, 0
23.577765, 12303.517138, 0
23.739411, 6192.120508, 0
23.796528, 17531.573707, 1
23.904132, 9304.348303, 0
23.989519, 11722.297094, 2
24.045967, 17747.172818, 2
24.144054, 10203.082563, 1
24.230238, 11617.123180, 2
24.320810, 11049.963315, 2
24.372826, 19253.401234, 2
24.447632, 13382.035915, 2
24.516320, 14584.747872, 2
24.592770, 13104.357402, 2
24.651821, 16974.861978, 2
24.724126, 13846.145645, 2
24.781481, 21603.427565, 2
24.868747, 11479.365720, 2
24.974560, 9462.357012, 2
25.092970, 8450.806801, 0
25.162460, 14406.669804, 2
25.268877, 9831.877742, 0
25.327049, 17213.409005, 2
25.399207, 13873.373255, 1
25.493572, 10605.564924, 0
25.577759, 11889.049959, 1
25.654274, 13091.914245, 0
25.732526, 12800.144836, 1
25.815690, 12046.692015, 2
25.892551, 13033.881301, 2
25.954417, 16205.983495, 2
26.017039, 15995.704961, 0
26.177160, 6248.223630, 0
26.256017, 12716.226234, 2
26.345613, 11171.757743, 0
26.460696, 8695.324247, 0
26.711412, 3991.633217, 2
26.836960, 7972.772535, 0
26.902444, 15289.221229, 2
26.972011, 14396.626099, 0
27.045888, 13562.409482, 2
27.116557, 14175.493546, 2
27.243772, 7865.684502, 2
27.333378, 11174.086400, 2
27.419110, 11675.074277, 0
27.513164, 10651.331476, 1
27.582023, 14555.302398, 0
27.644551, 16013.627725, 2
27.760560, 8625.975891, 0
27.828758, 14690.869149, 1
27.892722, 15651.989410, 0
27.970723, 12832.956346, 1
