time(s), tput(ops/s), num_workers, cpu(%)
0.001081, 51400.562528, 2, 0.000000
0.502145, 126871.030523, 2, 0.000000
1.003289, 255382.831634, 2, 0.000000
1.505262, 253387.634303, 2, 20.833333
2.008833, 255975.835881, 2, 18.750000
2.515005, 275823.548780, 2, 16.666667
3.022886, 422436.277138, 2, 38.392857
3.534418, 571330.017001, 2, 56.250000
4.052493, 717839.943340, 2, 56.666667
4.589361, 700673.489548, 2, 56.034483
5.157656, 753241.753161, 2, 60.118534
5.875044, 471504.277531, 2, 43.604651
6.598405, 917555.213381, 2, 43.206522
7.549525, 908530.725774, 2, 43.501452
8.967789, 892422.082423, 2, 49.572608
11.273198, 907634.806501, 2, 44.184750
15.402656, 902911.640616, 2, 56.645970
23.311373, 884607.044763, 2, 56.747397
38.334240, 902533.828233, 2, 56.940587
53.431357, 897940.636916, 2, 53.480670
68.482383, 900787.327215, 2, 56.752631
