num_calls, runtime(s),avg_cpu_usage(%)
5000, 0.008641, 63.816067
10000, 0.015246, 62.573999
15000, 0.022009, 62.960172
20000, 0.029135, 62.483119
25000, 0.036474, 63.986043
30000, 0.043556, 62.111345
35000, 0.052387, 62.839270
40000, 0.058431, 64.472367
45000, 0.065194, 63.075949
50000, 0.073031, 63.891946
55000, 0.082029, 62.235354
60000, 0.087354, 63.689900
65000, 0.095502, 63.517862
70000, 0.102600, 61.808362
75000, 0.112145, 64.094817
80000, 0.114380, 62.283014
85000, 0.123845, 63.220594
90000, 0.130571, 63.493282
95000, 0.137546, 63.086509
100000, 0.145230, 64.623882
