num_calls, runtime(s),avg_cpu_usage(%)
5000, 0.014335, 28.056818
10000, 0.027772, 28.008658
15000, 0.041368, 28.502674
20000, 0.054967, 28.081395
25000, 0.068516, 28.124579
30000, 0.082155, 27.884810
35000, 0.095589, 28.082909
40000, 0.110950, 27.867941
45000, 0.122751, 27.938875
50000, 0.136323, 27.958333
55000, 0.149942, 28.114494
60000, 0.163644, 27.958637
65000, 0.177205, 28.107332
70000, 0.190924, 28.116668
75000, 0.204474, 28.005952
80000, 0.217679, 28.114162
85000, 0.231652, 28.017455
90000, 0.247574, 27.910332
95000, 0.261250, 27.913973
100000, 0.275058, 28.022123
