num_calls, runtime(s),avg_cpu_usage(%)
5000, 0.006541, 85.625778
10000, 0.012281, 84.583333
15000, 0.018041, 84.321429
20000, 0.023924, 84.378655
25000, 0.030003, 84.134848
30000, 0.035650, 84.370027
35000, 0.041489, 83.465336
40000, 0.047390, 84.788878
45000, 0.053235, 84.820753
50000, 0.059128, 84.468676
55000, 0.065001, 85.087924
60000, 0.070847, 85.321092
65000, 0.077261, 84.460616
70000, 0.082620, 85.464719
75000, 0.088482, 84.687378
80000, 0.094566, 84.180409
85000, 0.100212, 85.353701
90000, 0.106109, 85.025820
95000, 0.112088, 84.645586
100000, 0.117742, 84.602927
