num_keys, runtime(s)
2000, 0.074214
4000, 0.184806
6000, 0.298157
8000, 0.413423
10000, 0.524732
12000, 0.641383
14000, 0.764136
16000, 0.919485
18000, 1.108554
20000, 1.363150
22000, 1.672114
24000, 1.942911
26000, 2.255357
28000, 2.516477
30000, 2.791401
32000, 3.109411
34000, 3.458521
36000, 3.843273
38000, 4.252132
40000, 4.758322
42000, 5.227752
44000, 5.668600
46000, 6.151184
48000, 6.600757
50000, 7.033632
