num_keys, runtime(s)
2000, 0.101655
4000, 0.258644
6000, 0.432106
8000, 0.596441
10000, 0.764994
12000, 0.932543
14000, 1.111947
16000, 1.327392
18000, 1.621239
20000, 2.003093
22000, 2.456677
24000, 2.810558
26000, 3.227208
28000, 3.629664
30000, 4.029221
32000, 4.487721
34000, 4.965746
36000, 5.562403
38000, 6.343081
40000, 6.838487
42000, 7.586080
44000, 8.225643
46000, 8.870513
48000, 9.639085
50000, 10.367506



