num_keys, runtime(s)
2000, 0.050220
4000, 0.089191
6000, 0.151811
8000, 0.207902
10000, 0.266382
12000, 0.314891
14000, 0.370494
16000, 0.429851
18000, 0.494201
20000, 0.661950
22000, 0.734748
24000, 0.844256
26000, 0.943137





