num_keys, runtime(s)
2000, 0.074096
4000, 0.189696
6000, 0.315029
8000, 0.442652
10000, 0.568665
12000, 0.695937
14000, 0.828479
16000, 0.981628
18000, 1.202992
20000, 1.486761
22000, 1.786228
24000, 2.089966
26000, 2.421520
28000, 2.711507
30000, 2.995197
32000, 3.321625
34000, 3.688970
36000, 4.161368
38000, 4.611928
40000, 5.116801
42000, 5.588037
44000, 6.074353
46000, 6.530038
48000, 7.218142
50000, 7.725259
