num_keys, runtime(s)
2000, 0.109601
4000, 0.269864
6000, 0.447096
8000, 0.626299
10000, 0.816613
12000, 0.984243
14000, 1.182175
16000, 1.404834
18000, 1.727079
20000, 2.121211
22000, 2.535067
24000, 2.971691
26000, 3.443885
28000, 3.807889
30000, 4.321246
32000, 4.757805
34000, 5.251267
36000, 5.839234
38000, 6.535612
40000, 7.229233
42000, 7.962436
44000, 8.609431
46000, 9.299805
48000, 9.909695
50000, 10.657374

