num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.010172, 49156.308646, 59.573529
1000, 0.018467, 54151.587210, 60.139659
1500, 0.028219, 53154.770348, 59.775668
2000, 0.040283, 49648.503983, 58.362385
2500, 0.052565, 47560.530592, 60.319719
3000, 0.070313, 42666.134497, 62.182469
3500, 0.083539, 41896.735206, 61.151288
4000, 0.096984, 41244.059497, 60.390395
4500, 0.107796, 41745.593979, 62.322253
5000, 0.118787, 42092.185834, 62.945727
5500, 0.139505, 39425.047642, 61.840814
6000, 0.152806, 39265.443496, 59.096738
6500, 0.151464, 42914.390239, 63.059510
7000, 0.174054, 40217.412528, 61.531168
7500, 0.214617, 34946.021429, 60.853154
8000, 0.212108, 37716.562514, 60.413497
8500, 0.240956, 35276.119375, 60.636496
9000, 0.236890, 37992.251033, 60.910411
9500, 0.247209, 38429.020198, 61.391316
10000, 0.259646, 38514.000248, 59.866734
