num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.008332, 60009.683643, 81.904762
1000, 0.016201, 61724.315161, 82.214744
1500, 0.026057, 57567.087763, 82.838773
2000, 0.037136, 53855.807044, 82.448071
2500, 0.047541, 52585.992759, 83.754352
3000, 0.060586, 49516.359849, 82.937880
3500, 0.072628, 48191.026055, 82.905187
4000, 0.084826, 47155.260364, 84.095850
4500, 0.097652, 46082.131109, 82.736465
5000, 0.108879, 45922.511376, 83.035973
5500, 0.121525, 45258.017488, 83.140531
6000, 0.137165, 43743.054378, 83.174612
6500, 0.149270, 43545.122176, 83.369727
7000, 0.163259, 42876.570441, 83.541510
7500, 0.175951, 42625.438524, 83.004997
8000, 0.183792, 43527.382846, 83.105642
8500, 0.201429, 42198.583452, 83.165573
9000, 0.215728, 41719.189465, 83.461431
9500, 0.226553, 41932.710514, 83.034233
10000, 0.235106, 42533.925540, 82.985195
