num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.010460, 47803.323513, 32.668651
1000, 0.022916, 43637.646044, 57.543860
1500, 0.037261, 40256.704660, 69.363326
2000, 0.052629, 38001.752337, 72.739115
2500, 0.074116, 33731.126396, 74.409409
3000, 0.092562, 32410.612207, 76.090520
3500, 0.103675, 33759.484515, 77.908107
4000, 0.121991, 32789.397290, 78.980817
4500, 0.139717, 32207.981082, 79.194720
5000, 0.158620, 31521.970776, 80.169911
5500, 0.176598, 31144.190726, 80.293704
6000, 0.194663, 30822.502296, 80.908291
6500, 0.214286, 30333.360921, 81.226932
7000, 0.232721, 30078.906563, 81.387269
7500, 0.250286, 29965.707293, 81.482118
8000, 0.267715, 29882.490327, 81.461737
8500, 0.286891, 29628.022430, 81.834017
9000, 0.305951, 29416.448804, 82.086225
9500, 0.324224, 29300.723618, 82.210732
10000, 0.342022, 29237.911013, 82.194345
