num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.010483, 47698.206654, 83.536765
1000, 0.021548, 46408.064964, 82.570048
1500, 0.033374, 44945.740872, 83.513147
2000, 0.046507, 43004.315358, 83.571795
2500, 0.062982, 39693.633486, 83.823862
3000, 0.076795, 39065.124281, 84.107138
3500, 0.093365, 37487.198068, 84.354474
4000, 0.108739, 36785.183125, 84.151970
4500, 0.125386, 35889.274525, 83.786178
5000, 0.141776, 35266.948156, 84.011384
5500, 0.159036, 34583.361424, 84.492136
6000, 0.175294, 34228.271930, 84.192564
6500, 0.190993, 34032.691602, 83.896205
7000, 0.206845, 33841.842110, 84.100003
7500, 0.222982, 33635.010828, 83.992885
8000, 0.240494, 33264.837595, 84.186927
8500, 0.257395, 33023.127567, 84.100410
9000, 0.274258, 32815.809591, 84.070476
9500, 0.290493, 32702.994092, 84.278068
10000, 0.306603, 32615.437547, 84.195884
