target_tput(ops/s),av_read_lat(ms),av_upd_lat(ms),avg_tput(ops/s),num_clients
0,0.16,0.167,21703.0,4
0,0.182,0.208,33927.0,8
0,0.219,0.226,41797.0,12
0,0.238,0.283,46349.0,16
0,0.279,0.311,48780.0,20
0,0.351,0.352,48134.0,24
0,0.415,0.394,48484.0,28
0,0.443,0.463,48076.0,32
0,0.543,0.51,44444.0,36
0,0.588,0.578,44943.0,40
0,0.664,0.581,44642.0,44
0,0.662,0.715,44593.0,48
0,0.752,0.789,43290.0,52
0,0.871,0.825,42598.0,56
0,0.943,0.851,42689.0,60
0,1.008,1.022,41450.0,64








