target_tput(ops/s),av_read_lat(ms),av_upd_lat(ms),avg_tput(ops/s),num_clients
0,0.366,0.375,9945.0,4
0,0.615,0.615,11908.0,8
0,0.977,0.967,10890.0,12
0,1.25,1.26,11337.0,16
0,1.606,1.65,10772.0,20
0,1.839,1.884,11438.0,24
0,2.111,2.154,11286.0,28
0,2.398,2.477,11210.0,32
0,2.676,2.76,11389.0,36
0,2.935,3.146,11217.0,40
0,3.224,3.359,11280.0,44
0,3.609,3.727,11040.0,48
0,3.939,4.17,11040.0,52
0,3.822,4.035,11163.0,52
0,4.272,4.427,10949.0,56
0,4.512,4.695,10982.0,60
0,4.875,5.069,11074.0,64
