num_conns, get_tput, set_tput, get_lat, set_lat 
2, 6493.47, 6493.47, 0.62933, 0.66640 
4, 6169.84, 6169.84, 1.29511, 1.33576 
6, 6221.82, 6221.82, 1.87100, 1.88700 
8, 4311.88, 4311.88, 2.58338, 2.65291 
10, 5990.04, 5990.04, 3.27352, 3.33698
12, 6228.15, 6228.15, 3.86461, 3.95548 
14, 7447.79, 7447.79, 4.59949, 4.69801 
16, 6592.80, 6592.80, 5.65179, 5.72654 
18, 5625.12, 5625.12, 9.36721, 9.48970
20, 4369.90, 4369.90, 13.35007, 13.44695 
