num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.009315, 53674.699844, 55.149077
1000, 0.018609, 53737.484500, 57.179487
1500, 0.033529, 44737.470769, 55.028846
2000, 0.046191, 43298.710717, 55.141800
2500, 0.061471, 40669.744405, 54.965038
3000, 0.079716, 37633.534128, 55.198738
3500, 0.095659, 36588.305208, 54.449835
4000, 0.111951, 35730.056706, 55.656978
4500, 0.127435, 35312.031842, 56.463423
5000, 0.146065, 34231.437076, 56.429139
5500, 0.160993, 34162.944412, 55.874587
6000, 0.178878, 33542.361654, 56.119250
6500, 0.192621, 33744.975308, 56.019455
7000, 0.213017, 32861.198900, 56.400842
7500, 0.228734, 32789.131678, 56.233485
8000, 0.245261, 32618.357422, 56.007740
8500, 0.264418, 32146.032798, 55.848524
9000, 0.280637, 32069.921551, 56.146894
9500, 0.295949, 32100.140067, 56.533367
10000, 0.317929, 31453.555478, 56.170041
