num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 0.009779, 51128.483343, 55.124861
1000, 0.019750, 50632.642206, 55.406863
1500, 0.031371, 47815.339454, 53.615803
2000, 0.045121, 44325.540689, 54.793534
2500, 0.056414, 44314.916316, 55.254652
3000, 0.069682, 43052.822734, 55.304118
3500, 0.083568, 41882.191427, 55.809607
4000, 0.099479, 40209.403820, 55.582541
4500, 0.109789, 40987.591313, 56.060146
5000, 0.126096, 39652.473729, 55.915515
5500, 0.147086, 37393.073487, 55.998016
6000, 0.158634, 37822.956181, 55.664913
6500, 0.173251, 37517.907239, 55.361178
7000, 0.179771, 38938.439957, 55.841657
7500, 0.201808, 37164.096476, 55.699377
8000, 0.212126, 37713.502134, 56.017521
8500, 0.228885, 37136.519640, 55.523101
9000, 0.243102, 37021.479240, 56.181801
9500, 0.257259, 36927.697479, 55.630569
10000, 0.271533, 36828.003309, 55.675087
