num_keys, runtime(s)
2000, 0.005277
4000, 0.008499
6000, 0.012598
8000, 0.016738
10000, 0.021223
12000, 0.024801
14000, 0.029062
16000, 0.033127
18000, 0.037427
20000, 0.041353
22000, 0.045769
24000, 0.049805
26000, 0.053451
28000, 0.057494
30000, 0.062095
32000, 0.066304
34000, 0.069883
36000, 0.074183
38000, 0.078377
40000, 0.082579
42000, 0.086467
44000, 0.090328
46000, 0.094940
48000, 0.099007
50000, 0.102966



