num_keys, runtime(s)
2000, 0.006749
4000, 0.006874
6000, 0.008543
8000, 0.010015
10000, 0.012493
12000, 0.013571
14000, 0.013505
16000, 0.017406
18000, 0.020120
20000, 0.022226
22000, 0.024288
24000, 0.026646
26000, 0.026503
28000, 0.031466
30000, 0.033429
32000, 0.035528
34000, 0.035018
36000, 0.039859
38000, 0.038673
40000, 0.044893
42000, 0.042746
44000, 0.052315
46000, 0.049663
48000, 0.049441
50000, 0.054883





