num_keys, runtime(s)
2000, 0.004535
4000, 0.005951
6000, 0.009075
8000, 0.007046
10000, 0.009089
12000, 0.010565
14000, 0.012415
16000, 0.023211
18000, 0.026151
20000, 0.018396
22000, 0.031542
24000, 0.020888
26000, 0.034601
28000, 0.024150
30000, 0.035856
32000, 0.039800
34000, 0.039869
36000, 0.032650
38000, 0.031861
40000, 0.036195
42000, 0.035835
44000, 0.040091
46000, 0.039117
48000, 0.044652
50000, 0.043219
