num_keys, runtime(s)
2000, 0.002752
4000, 0.002602
6000, 0.006262
8000, 0.009271
10000, 0.010894
12000, 0.012162
14000, 0.011875
16000, 0.015996
18000, 0.018285
20000, 0.020003
22000, 0.022515
24000, 0.027449
26000, 0.024719
28000, 0.025947
30000, 0.031277
32000, 0.031454
34000, 0.033917
36000, 0.034464
38000, 0.041894
40000, 0.038772
42000, 0.041196
44000, 0.042066
46000, 0.045797
48000, 0.047303
50000, 0.049838


