target_tput(ops/s),av_read_lat(ms),av_upd_lat(ms),avg_tput(ops/s)
2000,1.584,1.642,1970.0
4000,1.087,1.11,3510.0
6000,1.065,1.181,3441.0
8000,1.046,1.082,3624.0
10000,1.062,1.136,3524.0
12000,1.065,1.124,3526.0
14000,1.019,1.121,3619.0
16000,1.013,1.134,3568.0
18000,1.073,1.092,3572.0
20000,1.108,1.164,3418.0
22000,1.076,1.086,3557.0
24000,1.059,1.111,3558.0
26000,1.061,1.148,3468.0
28000,1.132,1.142,3410.0
30000,1.112,1.128,3454.0
32000,1.027,1.099,3627.0
34000,1.144,1.22,3269.0
36000,1.069,1.138,3502.0
38000,1.012,1.082,3701.0
40000,1.118,1.224,3318.0
42000,1.05,1.132,3547.0
44000,1.106,1.147,3423.0
46000,1.046,1.097,3586.0
48000,1.103,1.197,3384.0
50000,1.028,1.058,3675.0




