num_keys, runtime(s),tput(op/s)
500, 2.057665, 242.993904
1000, 4.106341, 243.525815
1500, 6.156257, 243.654540
2000, 8.214049, 243.485280
2500, 10.262054, 243.615935
3000, 12.302383, 243.855195
3500, 14.349708, 243.907405
4000, 16.397548, 243.938916
4500, 18.456277, 243.819491
