time(s), tput(ops/s), num_workers, cpu(%)
0.000517, 122901.759707, 0, 0.000000
0.501139, 257869.533488, 1, 0.000000
1.002002, 295592.130155, 0, 0.000000
1.504101, 210218.069715, 0, 0.000000
2.007560, 246135.745710, 0, 25.000000
2.513617, 272956.075055, 0, 15.625000
3.024020, 313376.658962, 2, 28.571429
3.543709, 328241.638775, 0, 48.897059
4.084242, 317274.894206, 2, 37.560484
4.662915, 326079.948129, 0, 44.890873
5.310102, 348193.286582, 2, 41.521673
6.096203, 358081.028939, 0, 40.738344
7.141756, 375554.481757, 0, 39.066172
8.756747, 367433.019275, 0, 45.610844
11.464319, 371123.809894, 1, 37.757417
16.680936, 347383.837699, 2, 39.935676
26.768333, 341789.228255, 0, 38.010728
47.168794, 329322.564344, 2, 38.123189
66.616125, 345889.363584, 2, 41.855815
