time(s), tput(ops/s), num_workers, cpu(%)
0.001098, 50709.939148, 2, 0.000000
0.502145, 142999.734020, 2, 0.000000
1.003289, 258297.150208, 2, 0.000000
1.505262, 253955.515882, 2, 20.833333
2.008833, 256891.516318, 2, 18.750000
2.515005, 275800.917245, 2, 16.666667
3.022868, 422783.875921, 2, 38.392857
3.534430, 569288.959868, 2, 56.250000
4.052475, 722054.651640, 2, 56.666667
4.589361, 700233.355501, 2, 56.034483
5.157670, 752731.308340, 2, 60.118534
5.867084, 489441.925125, 2, 43.636364
6.594142, 903263.747285, 2, 43.171991
7.548082, 902998.212443, 2, 43.478261
8.966647, 892132.833334, 2, 49.598905
11.272824, 907278.525795, 2, 44.180353
15.399322, 903650.945093, 2, 56.645735
23.306096, 884848.668883, 2, 56.732202
38.323759, 902863.889113, 2, 56.939757
53.414548, 898339.088520, 2, 53.480546
68.461289, 901054.749225, 2, 56.751331
