time(s), tput(ops/s), num_workers, cpu(%)
0.000998, 56997.529727, 2, 0.000000
0.501880, 199880.871001, 2, 0.000000
1.002945, 280473.045839, 2, 0.000000
1.506801, 114864.928894, 2, 4.166667
2.515480, 305544.214348, 2, 16.666667
3.023065, 439245.787530, 2, 29.166667
3.534526, 574154.935889, 2, 42.500000
4.078583, 292670.715857, 2, 44.779412
4.610211, 817658.902665, 2, 42.000000
5.169300, 871151.770003, 2, 42.287234
5.775161, 970159.927074, 2, 42.205882
6.501807, 904257.586463, 2, 55.612374
7.470887, 873795.102472, 2, 56.770833
8.837377, 945602.813021, 2, 50.979415
11.155648, 901175.394035, 2, 52.829090
15.322506, 893674.426229, 2, 55.919097
23.298454, 876648.210497, 2, 49.614988
38.482372, 892633.852081, 2, 49.151055
53.804331, 884317.469176, 2, 45.567262
69.899149, 840495.632536, 2, 45.530958
