time(s), tput(ops/s), num_workers, cpu(%)
0.001249, 45374.521299, 2, 0.000000
1.510565, 115551.498414, 2, 0.000000
2.014674, 203955.773210, 2, 0.000000
2.522600, 206725.424062, 2, 14.583333
3.038192, 207683.295435, 2, 13.541667
3.569291, 206995.108609, 2, 14.000000
4.130904, 208378.017259, 2, 14.062500
4.762708, 194472.642345, 2, 14.150943
5.530085, 191710.751371, 2, 14.091981
6.680360, 157558.546617, 2, 50.124391
8.391566, 169111.833585, 2, 54.957718
11.485811, 157899.796213, 2, 69.622166
16.698574, 173833.194759, 2, 68.264352
28.290322, 147716.299549, 2, 70.695706
47.963621, 170906.359373, 2, 72.004968
65.108848, 196863.526452, 2, 71.050731
