time(s), tput(ops/s), num_workers, cpu(%)
0.000633, 97480.328470, 2, 0.000000
1.003778, 229957.745264, 2, 0.000000
1.505643, 273033.442501, 2, 0.000000
2.009312, 248021.409208, 2, 6.250000
2.516107, 249154.315750, 2, 58.333333
3.035500, 168434.057514, 2, 58.928571
3.548560, 506038.942227, 2, 57.954545
4.070116, 603024.241951, 2, 58.333333
4.602887, 788112.747656, 2, 57.692308
5.166512, 807318.837219, 2, 58.066352
5.785925, 859993.993983, 2, 56.659335
6.586947, 680850.088277, 2, 72.370632
7.656268, 719960.770153, 2, 71.688977
9.169346, 808794.514829, 2, 65.632979
11.547259, 872537.928588, 2, 73.562958
15.840579, 863879.641234, 2, 83.963066
25.725109, 698356.216031, 2, 74.158288
45.447076, 681894.106109, 2, 72.293422
65.173613, 681732.692913, 2, 71.604089
