time(s), tput(ops/s), num_workers, cpu(%)
0.000551, 118672.669921, 2, 0.000000
0.501134, 282227.565731, 2, 0.000000
1.002018, 288986.437866, 3, 0.000000
1.503295, 367391.438126, 4, 33.333333
2.510256, 368017.190083, 0, 32.750000
3.018963, 375679.716136, 2, 32.142857
3.535645, 388083.248950, 1, 50.000000
4.069980, 374796.043606, 1, 49.604885
4.634490, 397820.521624, 2, 53.413482
5.257457, 416979.717040, 2, 48.711442
5.988258, 443971.004479, 3, 55.668370
6.962837, 431711.682668, 0, 59.945988
8.444315, 417419.587077, 4, 59.707505
10.811327, 438830.207851, 4, 49.627966
15.033750, 440168.160496, 2, 50.170499
22.918414, 443742.786696, 0, 49.927980
39.436490, 409143.510913, 1, 49.710260
55.245832, 428085.725362, 0, 56.311329
71.740026, 409754.257573, 0, 56.885354
