num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
500, 2.084935, 239.815651, 12.190608
1000, 4.174036, 239.576290, 14.572675
1500, 6.252448, 239.906045, 14.298021
2000, 8.355038, 239.376536, 14.279055
2500, 10.422195, 239.872692, 14.305692
3000, 12.503280, 239.937046, 14.517018
3500, 14.596484, 239.783775, 14.359982
4000, 16.692665, 239.626213, 14.302074
4500, 18.751590, 239.979653, 14.197350
5000, 20.810594, 240.262239, 14.284126
5500, 22.925251, 239.910137, 14.473782
6000, 24.950707, 240.474150, 14.337287
6500, 27.073766, 240.084811, 14.272174
7000, 29.150903, 240.129780, 14.145017
7500, 31.236964, 240.100159, 14.038386
8000, 33.278710, 240.393936, 14.142702
8500, 35.414267, 240.016262, 14.457504
9000, 37.490902, 240.058241, 14.281011
9500, 39.518246, 240.395286, 14.307037
10000, 41.662579, 240.023549, 14.310830
