num_conns, get_tput, set_tput, get_lat, set_lat 
2, 6085.27, 6085.27, 0.67660, 0.71437 
4, 6258.85, 6258.85, 1.30334, 1.34590 
6, 8064.99, 8064.99, 1.90817, 1.97132
8, 5743.21, 5743.21, 2.75534, 2.80963    
10, 6889.96, 6889.96, 3.39329, 3.47366 
12, 4704.78, 4704.78, 3.99418, 4.08104 
14, 5595.91, 5595.91, 4.92659, 5.01404 
16, 5457.39, 5457.39, 5.62597, 5.70602  
18, 4788.07, 4788.07, 9.36208, 9.48331  
20
