num_conns, get_tput, set_tput, get_lat, set_lat 
2, 4919.39, 4919.39, 0.71659, 0.75728
4, 5150.60, 5150.60, 1.51564, 1.56089  
6, 5184.92, 5184.92, 2.21450, 2.32323 
8, 5257.71, 5257.71, 3.03345, 3.05261
10, 6868.13, 6868.13, 3.71502, 3.74440 
12, 5034.49, 5034.49, 4.71773, 4.59885 
14, 5267.02, 5267.02, 5.36657, 5.53436
16, 
18,
20
