num_calls, runtime(s),avg_cpu_usage(%)
5000, 0.045570, 83.970551
10000, 0.090317, 83.811739
15000, 0.135216, 84.749131
20000, 0.180561, 85.244390
25000, 0.225537, 85.220074
30000, 0.270590, 84.499783
35000, 0.315377, 84.812905
40000, 0.360330, 84.612170
45000, 0.405607, 84.718317
50000, 0.450087, 85.178584
55000, 0.495251, 84.502325
60000, 0.539911, 84.830784
65000, 0.585584, 84.787219
70000, 0.630243, 85.444996
75000, 0.675430, 85.346328
80000, 0.720277, 84.721906
85000, 0.765862, 84.696011
90000, 0.810459, 85.071235
95000, 0.854570, 85.294588
100000, 0.899710, 84.747600

