num_calls, runtime(s),avg_cpu_usage(%)
5000, 0.051988, 27.985555
10000, 0.103282, 28.117103
15000, 0.154425, 28.119755
20000, 0.205730, 28.022727
25000, 0.257083, 28.127990
30000, 0.308319, 28.124979
35000, 0.359740, 28.133711
40000, 0.410890, 28.057304
45000, 0.462187, 28.123297
50000, 0.515436, 28.077040
55000, 0.578725, 27.792682
60000, 0.617428, 28.123707
65000, 0.667829, 28.123823
70000, 0.718812, 28.123909
75000, 0.773003, 28.025901
80000, 0.821049, 28.125000
85000, 0.872963, 28.125892
90000, 0.924702, 28.093892
95000, 0.982961, 27.984798
100000, 1.026325, 28.124998

