num_calls, runtime(s),avg_cpu_usage(%)
5000, 0.054951, 64.431130
10000, 0.096159, 64.149928
15000, 0.146652, 64.982255
20000, 0.189015, 65.231236
25000, 0.243288, 63.721670
30000, 0.286693, 65.151669
35000, 0.334881, 64.652895
40000, 0.386240, 64.951064
45000, 0.427003, 65.256028
50000, 0.471660, 64.923207
55000, 0.525400, 64.701439
60000, 0.569929, 64.424303
65000, 0.614714, 64.904330
70000, 0.663508, 64.691666
75000, 0.711118, 64.684164
80000, 0.755788, 64.850379
85000, 0.813750, 64.894017
90000, 0.850634, 64.816412
95000, 0.897519, 65.092370
100000, 0.948414, 64.907021
