num_keys, runtime(s),tput(op/s),avg_cpu_usage(%)
5000, 0.005150, 970895.579714, 48.333333
10000, 0.008910, 1122354.786539, 58.750000
15000, 0.012514, 1198697.370772, 79.083333
20000, 0.016537, 1209394.971986, 73.809524
25000, 0.020671, 1209430.617481, 73.888889
30000, 0.024763, 1211501.882569, 78.916667
35000, 0.028829, 1214057.489812, 78.886364
40000, 0.032948, 1214019.335030, 78.858974
45000, 0.037048, 1214636.938703, 79.074405
50000, 0.041730, 1198175.661572, 78.254085
55000, 0.045236, 1215837.803877, 78.677331
60000, 0.049339, 1216067.042587, 72.815789
65000, 0.053605, 1212579.882757, 73.863636
70000, 0.058247, 1201780.864812, 81.068841
75000, 0.061603, 1217467.400224, 79.664286
80000, 0.065683, 1217980.098698, 79.546703
85000, 0.069786, 1218001.143253, 79.689381
90000, 0.073879, 1218203.768343, 78.913793
95000, 0.078147, 1215653.380460, 78.913978
100000, 0.082400, 1213596.969573, 76.231061





















