time(s), tput(ops/s), num_workers, cpu(%)
0.000804, 72742.403147, 2, 0.000000
1.005942, 66404.060741, 2, 0.000000
1.510254, 99180.963603, 2, 0.000000
2.014973, 180434.576678, 2, 16.666667
2.522957, 207776.772946, 2, 12.500000
3.598966, 199197.197943, 2, 14.000000
4.162623, 201564.610646, 2, 14.000000
4.801272, 184924.977923, 2, 14.076577
5.574245, 187791.467625, 2, 14.055300
6.643296, 180054.017858, 2, 45.090669
8.177379, 198086.074934, 2, 44.835668
10.812264, 191877.033984, 2, 58.694644
15.635916, 189477.963792, 2, 76.538919
25.238472, 179997.994822, 2, 73.606140
44.405002, 175545.941018, 2, 71.184451
63.688406, 174453.688687, 2, 71.140572
